Horas_Estudio,Asistencia,Involucramiento_Padres,Nivel_Recursos,Actividades_Extracurriculares,Horas_Suenio,Notas_Previas,Nivel_Motivacion,Acceso_Internet,Clases_con_Tutor,Ingresos_Familiares,Calidad_Docente,Tipo_Escuela,Influencia_de_Pares,Actividad_Fisica,Dificultades_Aprendizaje,Nivel_Educacion_Padres,Distancia_Escuela,Sexo,Nota_Examen
15,80,Alto,Medio,Si,5,90,Medio,Si,4,Medio,Alto,Private,Neutral,3,No,Secundario,Cerca,Femenino,69
18,94,Medio,Medio,Si,4,71,Medio,Si,3,Alto,Bajo,Publico,Positivo,3,No,Universitario,Cerca,Femenino,71
15,95,Medio,Medio,Si,8,90,Bajo,Si,2,Bajo,,Private,Negativo,1,No,Posgrado,Cerca,Masculino,69
26,67,Medio,Alto,Si,5,94,Medio,Si,0,Medio,Medio,Publico,Positivo,2,No,Universitario,Cerca,Masculino,68
20,65,Medio,Alto,Si,6,100,Medio,Si,2,Bajo,Alto,Publico,Neutral,5,No,Secundario,Medio,Masculino,67
31,85,Alto,Medio,No,8,53,Medio,Si,2,Bajo,Alto,Publico,Positivo,3,No,Secundario,Cerca,Masculino,72
20,72,Alto,Medio,Si,7,90,Alto,Si,2,Medio,Medio,Publico,Neutral,3,No,Secundario,Cerca,Masculino,68
16,61,Alto,Medio,Si,6,53,Bajo,Si,0,Alto,Medio,Publico,Positivo,4,Si,Secundario,Medio,Femenino,60
11,96,Medio,Alto,No,5,66,Alto,Si,2,Bajo,Medio,Publico,Neutral,4,No,Secundario,Medio,Masculino,68
9,69,Alto,Medio,Si,7,82,Alto,Si,1,Alto,Alto,Publico,Positivo,2,No,Secundario,Cerca,Femenino,65
10,97,Bajo,Alto,No,8,72,Alto,Si,0,Bajo,Medio,Publico,Neutral,3,No,Posgrado,Medio,Femenino,67
22,89,Bajo,Medio,No,8,78,Bajo,Si,4,Alto,Medio,Private,Positivo,3,No,Secundario,Cerca,Femenino,70
23,91,Medio,Bajo,Si,10,98,Alto,Si,0,Bajo,Alto,Private,Negativo,3,No,Secundario,Cerca,Femenino,70
11,68,Medio,Medio,No,6,91,Bajo,Si,3,Bajo,Alto,Publico,Negativo,2,No,Universitario,Lejos,Femenino,61
25,69,Alto,Bajo,Si,5,68,Medio,Si,2,Alto,Alto,Publico,Positivo,4,No,Universitario,Lejos,Masculino,68
17,81,Medio,Alto,No,7,80,Alto,Si,1,Bajo,Medio,Publico,Negativo,3,No,Posgrado,Cerca,Femenino,67
21,67,Medio,Alto,No,7,52,Medio,Si,3,Bajo,Medio,Publico,Negativo,3,Si,Secundario,Medio,Femenino,62
30,72,Medio,Bajo,No,7,73,Medio,Si,0,Alto,Medio,Publico,Neutral,4,No,Secundario,Medio,Masculino,66
25,73,Alto,Medio,Si,6,80,Medio,Si,3,Alto,Medio,Publico,Positivo,2,No,Secundario,Lejos,Femenino,69
18,66,Medio,Alto,Si,4,86,Medio,Si,2,Medio,Medio,Publico,Negativo,4,No,Universitario,Cerca,Femenino,66
15,68,Medio,Medio,Si,5,95,Medio,Si,0,Alto,Medio,Publico,Negativo,5,No,Universitario,Cerca,Femenino,64
7,92,Alto,Medio,No,8,64,Alto,Si,1,Bajo,Bajo,Publico,Neutral,4,No,Posgrado,Cerca,Masculino,66
16,67,Medio,Medio,No,7,95,Bajo,Si,2,Medio,Medio,Publico,Neutral,5,Si,Secundario,Cerca,Masculino,63
19,61,Bajo,Alto,Si,8,83,Bajo,Si,1,Medio,Medio,Private,Negativo,3,No,Secundario,Cerca,Masculino,62
14,85,Medio,Medio,Si,8,54,Bajo,Si,1,Alto,Medio,Private,Negativo,4,No,Posgrado,Medio,Masculino,65
19,99,Bajo,Alto,No,8,69,Bajo,Si,0,Alto,Medio,Private,Negativo,2,No,Secundario,Medio,Masculino,68
20,73,Alto,Alto,Si,8,74,Bajo,Si,1,Bajo,Bajo,Private,Negativo,4,No,Secundario,Medio,Masculino,65
19,65,Medio,Alto,Si,7,68,Bajo,Si,1,Bajo,Bajo,Publico,Neutral,4,No,Universitario,Cerca,Femenino,63
16,83,Alto,Alto,Si,7,56,Medio,Si,3,Medio,Medio,Publico,Negativo,2,No,Secundario,Cerca,Masculino,68
21,96,Medio,Alto,Si,4,78,Bajo,Si,2,Alto,Medio,Private,Positivo,2,No,Secundario,Cerca,Masculino,72
23,91,Alto,Bajo,No,6,57,Medio,Si,2,Bajo,Medio,Private,Positivo,3,No,Secundario,Cerca,Masculino,69
13,85,Bajo,Medio,No,6,96,Bajo,Si,1,Bajo,Alto,Publico,Positivo,5,No,Posgrado,Lejos,Masculino,66
28,73,Bajo,Bajo,Si,7,93,Alto,Si,2,Bajo,Alto,Private,Neutral,3,No,Universitario,Cerca,Masculino,68
19,82,Bajo,Bajo,No,6,74,Medio,Si,1,Medio,Alto,Publico,Neutral,2,No,Secundario,Medio,Masculino,64
20,64,Medio,Bajo,Si,8,53,Bajo,Si,1,Bajo,Medio,Publico,Positivo,2,No,Secundario,Cerca,Masculino,61
24,87,Bajo,Medio,No,6,78,Alto,Si,0,Bajo,Bajo,Publico,Neutral,2,Si,Posgrado,Cerca,Masculino,67
21,89,Medio,Bajo,Si,9,80,Medio,Si,0,Medio,Bajo,Publico,Neutral,3,No,Posgrado,Medio,Masculino,68
26,99,Medio,Medio,No,6,94,Alto,Si,2,Medio,Medio,Publico,Positivo,3,No,Secundario,Cerca,Masculino,74
22,70,Medio,Alto,Si,6,53,Medio,Si,3,Medio,Alto,Publico,Positivo,2,No,Secundario,Cerca,Femenino,67
16,61,Medio,Alto,Si,6,85,Medio,Si,2,Medio,Medio,Private,Positivo,3,No,Secundario,Cerca,Masculino,64
22,82,Bajo,Alto,No,6,78,Medio,Si,3,Medio,Alto,Publico,Neutral,3,No,Secundario,Medio,Masculino,69
13,88,Alto,Medio,Si,9,59,Medio,Si,0,Bajo,Medio,Private,Negativo,3,Si,Secundario,Lejos,Femenino,63
21,92,Medio,Medio,No,7,56,Medio,Si,0,Bajo,Medio,Private,Neutral,4,No,Secundario,Medio,Femenino,67
20,68,Alto,Medio,Si,7,85,Medio,Si,1,Medio,Medio,Publico,Neutral,3,No,Universitario,Lejos,Masculino,65
19,70,Medio,Medio,Si,6,67,Medio,Si,5,Medio,Bajo,Publico,Positivo,4,No,Posgrado,Medio,Femenino,67
19,81,Alto,Medio,No,7,100,Medio,Si,1,Bajo,Medio,Private,Negativo,5,No,Posgrado,Medio,Femenino,68
9,73,Medio,Bajo,Si,7,95,Medio,No,3,Bajo,Medio,Private,Negativo,3,No,Posgrado,Cerca,Masculino,62
17,94,Alto,Medio,Si,7,78,Medio,Si,1,Bajo,Alto,Publico,Neutral,3,No,Universitario,Cerca,Femenino,70
21,79,Bajo,Alto,Si,7,82,Medio,Si,1,Alto,Medio,Publico,Negativo,3,No,Secundario,Cerca,Femenino,67
21,92,Alto,Alto,Si,9,58,Medio,Si,2,Alto,Medio,Publico,Neutral,5,No,Secundario,Medio,Femenino,89
14,83,Alto,Medio,Si,7,95,Bajo,Si,1,Bajo,Medio,Private,Neutral,2,Si,Secundario,Cerca,Femenino,65
28,91,Bajo,Medio,Si,5,73,Medio,No,2,Medio,Medio,Publico,Neutral,2,No,Secundario,Cerca,Femenino,69
15,73,Medio,Medio,No,7,76,Alto,Si,2,Bajo,Medio,Publico,Positivo,4,No,Secundario,Lejos,Femenino,64
26,93,Alto,Bajo,No,6,94,Medio,Si,6,Alto,Medio,Private,Negativo,4,No,Secundario,Cerca,Femenino,74
23,71,Medio,Alto,No,8,50,Medio,Si,0,Alto,Medio,Publico,Positivo,2,No,Secundario,Lejos,Femenino,64
16,82,Bajo,Alto,No,7,75,Medio,Si,0,Bajo,Medio,Publico,Negativo,2,No,Posgrado,Medio,Femenino,64
31,69,Medio,Bajo,Si,9,81,Medio,Si,2,Medio,Medio,Private,Negativo,2,No,Universitario,Cerca,Masculino,67
13,79,Bajo,Bajo,Si,6,58,Alto,Si,2,Medio,Medio,Publico,Positivo,4,No,Universitario,Medio,Masculino,63
26,73,Alto,Medio,Si,7,53,Bajo,Si,3,Medio,Alto,Private,Neutral,5,No,Secundario,Medio,Femenino,68
26,71,Bajo,Medio,Si,5,77,Bajo,Si,0,Medio,Medio,Publico,Neutral,5,No,Posgrado,Cerca,Masculino,66
16,99,Bajo,Alto,Si,7,77,Alto,Si,0,Bajo,Medio,Publico,Neutral,3,Si,Secundario,Medio,Femenino,68
28,66,Medio,Alto,No,5,67,Medio,Si,1,Alto,Medio,Private,Positivo,1,No,Posgrado,Medio,Femenino,68
18,91,Medio,Medio,No,7,94,Medio,Si,3,Bajo,Medio,Private,Neutral,2,No,Secundario,Cerca,Femenino,69
22,99,Alto,Bajo,No,7,65,Medio,Si,3,Bajo,Bajo,Publico,Neutral,3,No,Posgrado,Cerca,Femenino,71
22,61,Bajo,Alto,Si,7,76,Medio,Si,1,Alto,Medio,Publico,Positivo,3,No,Universitario,Cerca,Femenino,65
19,88,Bajo,Medio,Si,8,59,Medio,Si,2,Medio,Medio,Private,Neutral,4,No,Secundario,Cerca,Masculino,67
25,70,Medio,Medio,No,7,51,Medio,Si,1,Alto,Medio,Publico,Negativo,4,No,Universitario,Cerca,Femenino,65
25,62,Alto,Medio,No,5,71,Medio,Si,0,Bajo,Alto,Private,Positivo,4,No,Secundario,Medio,Masculino,65
10,76,Medio,Bajo,No,6,76,Medio,Si,1,Alto,Alto,Publico,Negativo,2,No,Posgrado,Cerca,Masculino,80
28,97,Medio,Medio,Si,7,88,Alto,Si,2,Medio,Medio,Publico,Neutral,2,No,Secundario,Medio,Masculino,74
10,60,Medio,Medio,No,7,72,Bajo,No,3,Medio,Bajo,Publico,Positivo,3,No,Secundario,Cerca,Masculino,59
26,84,Medio,Medio,No,7,64,Bajo,Si,2,Alto,Alto,Publico,Neutral,3,No,Secundario,Cerca,Masculino,69
27,80,Medio,Bajo,Si,9,80,Medio,Si,0,Alto,Medio,Publico,Neutral,2,Si,Secundario,Medio,Masculino,66
13,95,Medio,Medio,Si,7,69,Medio,Si,1,Bajo,Bajo,Publico,Positivo,2,Si,Posgrado,Medio,Femenino,66
18,63,Alto,Alto,No,8,62,Medio,Si,2,Alto,Medio,Publico,Positivo,4,No,Secundario,Cerca,Femenino,65
13,87,Alto,Medio,Si,4,96,Bajo,Si,3,Bajo,Bajo,Publico,Neutral,3,Si,Universitario,Cerca,Masculino,67
19,87,Alto,Alto,No,8,77,Bajo,Si,3,Bajo,Medio,Private,Neutral,4,No,Secundario,Medio,Masculino,69
18,87,Medio,Bajo,Si,10,60,Alto,Si,2,Medio,Medio,Publico,Positivo,3,No,Secundario,Cerca,Femenino,68
25,98,Medio,Medio,Si,9,84,Medio,Si,1,Medio,Alto,Private,Neutral,2,No,Posgrado,Cerca,Femenino,73
28,93,Bajo,Alto,Si,6,90,Medio,Si,1,Bajo,Medio,Publico,Positivo,2,Si,Secundario,Cerca,Femenino,71
28,62,Alto,Medio,Si,10,88,Medio,Si,0,Bajo,Alto,Publico,Positivo,2,Si,Posgrado,Medio,Masculino,67
17,79,Medio,Medio,Si,7,80,Bajo,Si,1,Alto,Alto,Publico,Positivo,3,No,Universitario,Cerca,Femenino,67
19,76,Alto,Bajo,No,7,76,Medio,Si,0,Alto,Alto,Publico,Neutral,2,No,Posgrado,Cerca,Masculino,66
10,72,Medio,Bajo,No,7,89,Medio,Si,3,Medio,Medio,Publico,Negativo,4,No,Universitario,Cerca,Femenino,63
15,78,Alto,Alto,No,7,85,Medio,No,1,Alto,Medio,Publico,Negativo,1,No,Secundario,Lejos,Masculino,65
26,75,Medio,Bajo,Si,4,79,Medio,Si,2,Alto,Medio,Publico,Negativo,1,No,Universitario,Cerca,Masculino,67
30,77,Medio,Bajo,Si,8,83,Medio,Si,1,Bajo,Bajo,Publico,Positivo,3,No,Universitario,Cerca,Masculino,69
13,99,Medio,Medio,Si,7,58,Medio,Si,1,Bajo,Medio,Publico,Neutral,2,No,Secundario,Cerca,Masculino,67
16,64,Alto,Medio,Si,7,51,Alto,Si,4,Alto,Alto,Publico,Neutral,3,No,Universitario,Cerca,Masculino,66
20,97,Alto,Alto,Si,7,97,Bajo,Si,2,Medio,Alto,Private,Neutral,4,No,Secundario,Medio,Femenino,74
22,79,Alto,Medio,No,6,97,Medio,No,2,Alto,,Publico,Positivo,2,No,Universitario,Medio,Femenino,69
15,85,Bajo,Medio,Si,7,89,Alto,Si,0,Medio,Medio,Publico,Negativo,4,No,Universitario,Medio,Femenino,66
23,93,Alto,Bajo,Si,9,69,Bajo,Si,0,Medio,Medio,Private,Positivo,3,Si,Posgrado,Medio,Masculino,69
17,74,Medio,Medio,Si,8,58,Bajo,Si,1,Alto,Medio,Publico,Neutral,2,No,Universitario,Lejos,Masculino,63
20,77,Medio,Bajo,Si,7,68,Medio,No,0,Medio,Alto,Private,Positivo,3,No,Universitario,Cerca,Femenino,65
23,76,Bajo,Medio,No,7,86,Bajo,No,1,Bajo,Medio,Private,Positivo,4,No,Universitario,Lejos,Masculino,64
20,75,Bajo,Medio,No,7,67,Alto,Si,0,Medio,Medio,Private,Neutral,4,No,Secundario,Cerca,Masculino,64
17,97,Bajo,Alto,Si,6,90,Bajo,Si,2,Medio,Bajo,Publico,Negativo,2,No,Secundario,Medio,Masculino,69
19,93,Alto,Alto,No,7,84,Medio,Si,5,Bajo,Alto,Publico,Negativo,3,No,Secundario,Cerca,Femenino,73
19,64,Medio,Medio,Si,8,81,Alto,Si,1,Medio,Medio,Publico,Negativo,3,Si,Secundario,Medio,Masculino,62
18,64,Bajo,Bajo,Si,7,97,Bajo,Si,2,Medio,Bajo,Private,Neutral,4,No,Universitario,Cerca,Masculino,62
18,77,Medio,Medio,Si,6,95,Alto,Si,0,Medio,Alto,Private,Positivo,2,No,Posgrado,Medio,Femenino,68
30,64,Medio,Medio,No,7,86,Bajo,Si,1,Medio,Medio,Private,Positivo,3,No,Posgrado,Lejos,Femenino,66
23,85,Bajo,Alto,Si,8,60,Alto,Si,2,Medio,Medio,Publico,Positivo,1,Si,Universitario,Medio,Femenino,68
18,66,Bajo,Alto,Si,5,97,Medio,Si,4,Medio,Medio,Publico,Neutral,4,No,Secundario,Medio,Masculino,66
24,81,Bajo,Medio,Si,6,61,Bajo,Si,3,Medio,Medio,Publico,Positivo,3,No,Posgrado,Cerca,Masculino,69
18,60,Medio,Medio,Si,5,69,Medio,Si,0,Medio,Medio,Publico,Neutral,2,No,Posgrado,Cerca,Femenino,62
27,73,Bajo,Medio,No,7,91,Medio,Si,2,Alto,Medio,Publico,Neutral,4,No,Universitario,Lejos,Femenino,68
22,87,Medio,Medio,No,8,60,Bajo,Si,2,Medio,Alto,Publico,Negativo,2,No,Universitario,Medio,Masculino,67
19,79,Bajo,Medio,No,9,82,Medio,Si,1,Bajo,Medio,Private,Neutral,4,No,Secundario,Cerca,Masculino,65
23,99,Bajo,Medio,No,9,73,Medio,Si,0,Bajo,Medio,Publico,Negativo,4,No,Universitario,Cerca,Masculino,69
11,95,Medio,Medio,No,6,81,Alto,Si,2,Bajo,Bajo,Publico,Positivo,3,No,Secundario,Cerca,Masculino,67
13,74,Bajo,Bajo,Si,7,98,Alto,Si,0,Medio,Medio,Publico,Positivo,3,No,Posgrado,Cerca,Femenino,64
13,62,Bajo,Medio,Si,6,90,Medio,No,3,Alto,Alto,Private,Neutral,3,Si,Posgrado,Cerca,Femenino,62
21,94,Medio,Medio,Si,9,65,Bajo,Si,5,Alto,Alto,Private,Neutral,3,Si,Secundario,Cerca,Masculino,71
30,96,Medio,Alto,Si,9,53,Medio,No,0,Medio,Medio,Private,Neutral,3,No,Secundario,Cerca,Masculino,72
33,93,Alto,Alto,Si,7,98,Bajo,Si,0,Medio,Medio,Publico,Negativo,2,Si,Secundario,Cerca,Femenino,74
24,65,Bajo,Alto,No,6,79,Bajo,Si,1,Medio,Alto,Publico,Neutral,2,No,Posgrado,Cerca,Masculino,66
23,100,Alto,Bajo,Si,4,59,Medio,Si,2,Medio,Medio,Publico,Positivo,4,No,Secundario,Cerca,Femenino,72
9,70,Alto,Medio,No,5,81,Medio,Si,1,Alto,Alto,Private,Neutral,4,No,Posgrado,Cerca,Femenino,65
17,89,Alto,Medio,Si,4,52,Alto,Si,0,Bajo,Medio,Publico,Positivo,3,No,Universitario,Lejos,Femenino,67
15,96,Medio,Alto,Si,5,59,Alto,Si,2,Medio,Alto,Private,Neutral,2,No,Secundario,Cerca,Masculino,70
16,69,Alto,Medio,Si,10,82,Medio,Si,0,Bajo,Alto,Publico,Negativo,1,Si,Secundario,Medio,Masculino,62
19,96,Bajo,Bajo,Si,5,70,Alto,Si,0,Bajo,Medio,Publico,Positivo,2,No,Secundario,Lejos,Masculino,66
17,72,Bajo,Medio,Si,5,66,Medio,Si,2,Alto,Alto,Publico,Negativo,3,No,Universitario,Cerca,Masculino,65
8,99,Bajo,Alto,Si,6,83,Alto,Si,2,Medio,Alto,Publico,Positivo,4,Si,Posgrado,Cerca,Masculino,70
24,71,Alto,Alto,Si,10,93,Bajo,Si,2,Medio,Medio,Private,Positivo,2,Si,Universitario,Cerca,Femenino,69
14,98,Medio,Medio,Si,7,84,Bajo,Si,3,Alto,Medio,Publico,Neutral,3,No,Secundario,Cerca,Femenino,70
21,62,Alto,Alto,No,8,73,Medio,Si,2,Alto,Medio,Private,Negativo,2,No,Universitario,Cerca,Femenino,66
32,88,Medio,Bajo,Si,7,83,Bajo,Si,1,Bajo,Alto,Private,Positivo,4,No,Posgrado,Cerca,Masculino,73
14,81,Alto,Medio,No,4,85,Bajo,Si,3,Medio,Alto,Publico,Positivo,4,No,Posgrado,Medio,Femenino,69
5,79,Alto,Alto,Si,9,89,Bajo,Si,3,Medio,Medio,Private,Neutral,3,No,Universitario,Cerca,Femenino,66
18,69,Alto,Medio,Si,8,65,Medio,Si,4,Medio,Medio,Publico,Neutral,4,No,Secundario,Lejos,Masculino,65
27,88,Medio,Bajo,No,7,56,Alto,Si,2,Bajo,Medio,Publico,Neutral,4,No,Posgrado,Cerca,Femenino,70
32,68,Alto,Alto,No,10,84,Medio,Si,0,Medio,Alto,Private,Positivo,2,No,Posgrado,Lejos,Masculino,70
13,82,Alto,Medio,No,6,56,Alto,Si,2,Bajo,Alto,Publico,Neutral,4,No,Posgrado,Cerca,Masculino,67
23,70,Medio,Alto,Si,7,73,Alto,Si,1,Bajo,Medio,Private,Positivo,3,No,Posgrado,Cerca,Masculino,68
17,98,Medio,Bajo,Si,6,62,Bajo,Si,1,Medio,Medio,Private,Neutral,2,No,Universitario,Cerca,Femenino,68
19,61,Alto,Medio,No,9,67,Medio,Si,0,Bajo,Medio,Publico,Negativo,2,No,Universitario,Lejos,Femenino,61
36,68,Medio,Medio,Si,8,74,Alto,Si,2,Medio,Medio,Publico,Negativo,3,No,Secundario,Cerca,Masculino,70
11,70,Alto,Alto,No,7,95,Alto,Si,0,Bajo,Alto,Publico,Negativo,5,No,Universitario,Medio,Masculino,65
22,77,Bajo,Medio,Si,5,84,Medio,No,3,Alto,Medio,Publico,Positivo,2,No,Secundario,Medio,Masculino,66
23,69,Medio,Medio,Si,6,59,Medio,Si,3,Alto,Medio,Publico,Neutral,3,No,Posgrado,Medio,Masculino,67
27,80,Bajo,Bajo,Si,5,94,Alto,Si,3,Alto,Medio,Publico,Negativo,3,No,Secundario,Cerca,Masculino,69
21,95,Medio,Alto,No,9,75,Medio,Si,1,Bajo,Medio,Publico,Neutral,2,No,Universitario,Lejos,Masculino,69
22,88,Medio,Medio,Si,5,60,Bajo,Si,1,Bajo,Medio,Publico,Neutral,2,No,Secundario,Medio,Masculino,67
18,83,Alto,Bajo,No,9,76,Medio,Si,0,Medio,Bajo,Private,Neutral,4,No,Secundario,Cerca,Femenino,66
22,64,Bajo,Medio,Si,9,60,Medio,Si,1,Alto,Alto,Private,Neutral,2,No,Secundario,Cerca,Masculino,63
18,88,Alto,Medio,No,6,68,Bajo,Si,0,Medio,Alto,Publico,Neutral,4,No,Secundario,Lejos,Femenino,67
24,67,Alto,Bajo,Si,6,90,Medio,Si,0,Bajo,Medio,Publico,Neutral,1,No,Universitario,Lejos,Masculino,64
18,91,Medio,Bajo,No,6,83,Medio,Si,2,Bajo,Medio,Private,Neutral,4,No,Secundario,Cerca,Masculino,68
22,70,Medio,Alto,Si,8,74,Bajo,Si,2,Bajo,Alto,Publico,Negativo,2,No,,Medio,Masculino,65
20,77,Medio,Bajo,No,9,61,Medio,Si,2,Medio,Medio,Publico,Neutral,3,No,Secundario,Cerca,Masculino,65
27,74,Medio,Bajo,Si,9,64,Alto,No,1,Bajo,Medio,Publico,Neutral,3,No,Secundario,Cerca,Masculino,65
20,94,Bajo,Medio,Si,6,99,Medio,Si,0,Medio,Medio,Publico,Negativo,4,No,Universitario,Cerca,Femenino,70
9,65,Medio,Alto,Si,9,67,Medio,Si,1,Alto,Medio,Publico,Neutral,3,No,Secundario,Cerca,Femenino,62
28,83,Alto,Bajo,No,9,81,Medio,Si,0,Bajo,Medio,Publico,Neutral,4,No,Secundario,Medio,Masculino,68
15,66,Bajo,Alto,Si,7,75,Bajo,Si,0,Alto,Alto,Publico,Negativo,3,No,Universitario,Cerca,Masculino,62
16,88,Medio,Alto,Si,7,51,Medio,Si,0,Medio,Medio,Publico,Positivo,3,No,Universitario,Cerca,Femenino,68
16,96,Alto,Medio,Si,9,97,Medio,Si,0,Medio,Alto,Private,Neutral,5,No,Universitario,Cerca,Masculino,72
28,77,Alto,Medio,Si,9,54,Bajo,Si,1,Alto,Medio,Publico,Positivo,3,No,Posgrado,Cerca,Femenino,70
7,80,Alto,Medio,No,9,83,Bajo,No,3,Medio,Medio,Publico,Neutral,3,No,Secundario,Lejos,Femenino,62
39,97,Alto,Alto,Si,10,91,Medio,Si,2,Bajo,Medio,Publico,Positivo,3,No,Secundario,Medio,Femenino,79
26,81,Medio,Alto,Si,8,87,Medio,Si,2,Alto,Alto,Publico,Neutral,1,No,Posgrado,Cerca,Masculino,73
21,80,Alto,Alto,Si,7,90,Alto,Si,1,Bajo,Bajo,Publico,Negativo,2,No,Universitario,Lejos,Masculino,68
20,83,Alto,Medio,Si,9,87,Bajo,Si,0,Alto,Medio,Publico,Neutral,2,No,Secundario,Cerca,Masculino,68
22,88,Medio,Medio,Si,10,72,Medio,Si,2,Bajo,Alto,Publico,Neutral,2,No,Secundario,Medio,Femenino,69
23,64,Medio,Bajo,Si,6,95,Alto,Si,1,Bajo,Medio,Publico,Positivo,2,Si,Universitario,Lejos,Femenino,63
24,93,Medio,Medio,Si,7,96,Medio,No,5,Alto,Medio,Publico,Negativo,4,No,Posgrado,Cerca,Femenino,74
23,77,Medio,Medio,Si,5,72,Medio,Si,2,Alto,Alto,Publico,Negativo,5,No,Universitario,Medio,Femenino,69
21,63,Medio,Bajo,No,8,74,Medio,Si,0,Bajo,Medio,Publico,Negativo,3,No,Secundario,Cerca,Femenino,61
19,91,Medio,Bajo,Si,8,74,Bajo,Si,4,Medio,Medio,Publico,Neutral,2,Si,Posgrado,Cerca,Femenino,69
19,75,Medio,Bajo,No,6,64,Alto,Si,2,Bajo,Medio,Publico,Neutral,3,No,Secundario,Cerca,Femenino,64
19,64,Medio,Medio,Si,9,56,Bajo,Si,2,Bajo,Medio,Publico,Positivo,4,No,Posgrado,Lejos,Femenino,63
27,85,Bajo,Alto,No,6,63,Bajo,Si,1,Bajo,Medio,Publico,Negativo,2,No,Universitario,Cerca,Masculino,68
24,95,Alto,Medio,Si,6,92,Medio,Si,2,Bajo,Medio,Publico,Neutral,3,No,Secundario,Lejos,Masculino,72
2,96,Bajo,Alto,Si,9,77,Medio,Si,3,Medio,,Publico,Neutral,2,No,Secundario,Lejos,Femenino,65
24,98,Bajo,Bajo,No,6,93,Bajo,No,2,Bajo,Bajo,Publico,Positivo,4,No,Universitario,Cerca,Masculino,69
21,95,Medio,Bajo,No,5,87,Bajo,Si,2,Medio,Medio,Private,Neutral,4,No,Secundario,Cerca,Masculino,70
20,60,Medio,Medio,Si,8,67,Bajo,Si,1,Medio,Medio,Publico,Neutral,4,No,Posgrado,Medio,Femenino,63
18,75,Bajo,Medio,Si,7,59,Bajo,Si,0,Medio,Medio,Publico,Positivo,2,Si,Secundario,Cerca,Femenino,62
27,93,Medio,Medio,Si,9,78,Bajo,Si,1,Bajo,Medio,Publico,Positivo,2,No,Posgrado,Cerca,Femenino,72
26,75,Alto,Alto,No,8,97,Medio,Si,1,Bajo,Medio,Publico,Neutral,4,No,Secundario,Lejos,Masculino,69
15,84,Medio,Medio,No,4,92,Bajo,Si,2,Medio,Medio,Publico,Negativo,3,No,Secundario,Medio,Femenino,66
22,84,Medio,Medio,Si,9,88,Medio,Si,2,Bajo,Alto,Private,Neutral,4,No,Posgrado,Cerca,Masculino,71
14,75,Bajo,Bajo,No,10,88,Medio,Si,2,Bajo,Medio,Private,Negativo,3,No,Universitario,Medio,Femenino,62
12,96,Medio,Bajo,Si,9,76,Medio,Si,2,Medio,Alto,Publico,Positivo,2,No,Secundario,Cerca,Masculino,68
16,80,Alto,Bajo,No,9,58,Bajo,Si,0,Medio,Medio,Publico,Neutral,2,No,Secundario,Cerca,Femenino,63
25,79,Medio,Medio,Si,7,64,Medio,Si,0,Bajo,Medio,Publico,Neutral,3,No,Universitario,Lejos,Femenino,66
26,100,Alto,Medio,Si,6,79,Alto,Si,1,Medio,Alto,Publico,Positivo,3,No,Universitario,Medio,Masculino,75
23,80,Medio,Bajo,Si,7,66,Alto,Si,1,Alto,Alto,Private,Positivo,4,No,Universitario,Cerca,Femenino,69
24,67,Alto,Medio,No,8,89,Medio,Si,2,Alto,Bajo,Private,Positivo,3,No,Secundario,Cerca,Femenino,68
23,81,Alto,Medio,No,8,69,Medio,Si,5,Medio,Medio,Publico,Negativo,2,No,Secundario,Medio,Masculino,69
16,93,Alto,Bajo,No,6,56,Medio,Si,2,Bajo,Medio,Publico,Positivo,4,No,Secundario,Cerca,Masculino,67
23,91,Alto,Medio,Si,6,89,Medio,Si,3,Medio,Medio,Private,Negativo,3,No,Posgrado,Cerca,Masculino,73
25,92,Medio,Alto,Si,5,85,Bajo,Si,1,Bajo,Medio,Publico,Negativo,1,No,Universitario,Cerca,Masculino,71
25,88,Alto,Medio,Si,8,63,Medio,Si,2,Alto,Medio,Publico,Positivo,3,No,Secundario,Medio,Femenino,71
27,70,Medio,Medio,No,6,99,Alto,Si,2,Bajo,Medio,Private,Neutral,2,No,Secundario,Cerca,Femenino,68
24,94,Alto,Bajo,No,7,70,Medio,Si,1,Alto,Medio,Publico,Neutral,1,No,Secundario,Cerca,Masculino,70
22,96,Bajo,Alto,Si,10,84,Bajo,Si,1,Alto,Alto,Publico,Negativo,3,No,Secundario,Cerca,Masculino,71
26,68,Medio,Alto,No,8,96,Alto,Si,1,Medio,Alto,Publico,Neutral,2,No,Secundario,Cerca,Masculino,69
20,65,Alto,Medio,No,7,58,Medio,No,3,Bajo,Medio,Private,Neutral,4,No,Secundario,Cerca,Masculino,63
15,99,Bajo,Medio,Si,8,94,Medio,Si,2,Medio,Medio,Private,Neutral,3,No,Posgrado,Cerca,Masculino,71
19,95,Medio,Medio,Si,9,85,Medio,No,2,Bajo,Medio,Publico,Negativo,3,No,Universitario,Cerca,Masculino,69
16,96,Alto,Medio,Si,5,58,Medio,Si,2,Alto,Bajo,Publico,Positivo,5,No,Posgrado,Medio,Masculino,71
16,95,Medio,Bajo,No,6,83,Bajo,Si,2,Bajo,Alto,Private,Neutral,3,No,Secundario,Cerca,Femenino,68
19,82,Medio,Medio,No,7,94,Medio,Si,1,Medio,Medio,Publico,Positivo,3,No,Secundario,Cerca,Femenino,68
